,image_name,intersection,ratio,width,height
0,M_HS_m1_725_00147,22863,0.8107446808510639,150,188
0,M_HA_m3_921_00009,672,0.004146663540213998,299,542
0,M_HS_m1_711_03085,9930,0.43175790251750074,109,211
0,M_HS_m1_721_01732,1995,0.061437546193643756,132,246
0,M_HS_h1_1021_02723,16560,0.629059829059829,117,225
0,M_HS_h1_1023_02424,864,0.1054945054945055,70,117
0,M_HA_m1_725_00006,0,0.0,1200,847
0,M_HS_m3_921_02582,19926,1.0140458015267175,150,131
0,M_HS_m1_711_01060,17613,1.539597902097902,143,80
0,M_HS_m3_923_00057,18372,0.4303785607196402,116,368
0,M_HS_m1_725_00260,2592,0.1464406779661017,150,118
0,M_HA_h1_1024_00163,0,0.0,1200,848
0,M_P_m1_723_00673,7221,0.020058333333333334,600,600
0,M_P_m1_723_00699,6342,0.017616666666666666,600,600
0,M_HA_m1_711_00171,16821,0.06461215804070093,589,442
0,M_HS_m2_822_00416,2562,0.44978932584269665,64,89
0,M_HS_m1_711_02406,3324,0.7641379310344828,50,87
0,M_HS_h3_1215_00887,29775,0.5265251989389921,150,377
0,M_HS_m1_711_04292,15444,0.5310501341035693,131,222
0,M_HS_m1_712_00851,2166,0.5003465003465003,39,111
0,M_HA_h1_1026_00038,0,0.0,599,559
0,M_HA_m3_921_00004,24606,0.0971122082904131,599,423
0,M_P_m1_715_00120,8439,0.023441666666666666,600,600
0,M_HA_h1_1026_00070,10908,0.010731995277449823,1200,847
0,M_HS_h1_1023_00303,6966,1.45125,64,75
0,M_HS_h1_1023_01763,33612,1.2518435754189945,150,179
0,M_HS_m1_725_00452,12330,0.7210526315789474,150,114
0,M_HA_m1_725_00029,0,0.0,1200,848
0,M_HS_h1_1021_01881,73791,0.32192497971363504,506,453
0,M_HS_h1_1022_00595,16080,0.8205756276791182,69,284
0,M_HS_e4_413_00303,45474,0.560369685767098,150,541
0,M_HS_m2_823_01135,28581,0.7683064516129032,150,248
0,M_HS_m1_721_01220,1935,0.2388888888888889,150,54
0,M_HA_m1_715_00065,18231,0.05444673740670945,599,559
0,M_HS_m3_921_01018,28707,0.9290291262135922,150,206
0,M_HS_m1_714_01564,31140,0.5795429166976848,133,404
0,M_HS_m3_921_01993,5700,0.25675675675675674,150,148
0,M_HS_m1_711_01704,13374,0.3715,150,240
0,M_HS_h2_1121_01569,8757,0.7997260273972603,75,146
0,M_HS_m3_922_01237,12654,0.456,150,185
0,M_HS_h1_1023_03482,2191041,0.31088358812256783,2778,2537
0,M_HA_h1_1010_00026,3444,0.014022059092963321,589,417
0,M_HS_h1_1024_00004,12597,0.8597461097461098,99,148
0,M_HA_m2_822_00199,0,0.0,589,416
0,M_P_m1_715_00086,5913,0.016425,600,600
0,M_HS_h1_1015_00984,16902,0.5469902912621359,150,206
0,M_HS_e5_521_00237,357348,1.516435391470401,150,1571
0,M_HS_h2_1125_02150,23400,0.3586206896551724,150,435
0,M_HA_m2_821_00019,0,0.0,613,434
0,M_HS_m2_821_01678,17862,0.6495272727272727,125,220
0,M_HS_h2_1125_02516,109410,1.7877450980392158,150,408
0,M_HS_m1_721_01533,24750,0.15330013378920768,372,434
0,M_P_m1_715_00114,5670,0.01575,600,600
0,M_HS_m1_711_04864,18009,1.4822222222222223,150,81
0,M_HS_m1_712_01852,3432,0.09115537848605577,150,251
0,M_HS_e4_414_00678,19644,0.8134161490683229,150,161
0,M_HS_m1_712_01255,14973,0.8522882513661202,61,288
0,M_HS_m1_712_00229,4761,0.09120689655172413,150,348
0,M_HS_m2_823_01108,3165,0.08828451882845188,150,239
0,M_HS_m1_723_01272,1512,0.023896448722203784,161,393
0,M_HS_m1_711_01303,5172,0.8236980410893454,39,161
0,M_HS_m1_711_00744,12066,1.237284659557014,92,106
0,M_HA_m3_914_00026,4557,0.011583924349881796,837,470
0,M_HS_m1_715_00053,1980,0.09705882352941177,150,136
0,M_HS_m3_921_00303,3060,0.07640449438202247,150,267
0,M_HS_h2_1125_00363,16782,0.23653276955602537,150,473
0,M_HS_m1_721_00968,9717,0.5682456140350877,150,114
0,M_HA_m1_721_00048,0,0.0,613,434
0,M_HS_m1_711_04314,11085,1.6614208633093526,48,139
0,M_HS_m1_711_05367,14076,1.4031100478468899,88,114
0,M_HS_m1_725_00248,9594,0.615,150,104
0,M_HS_m2_821_00002,13653,0.4655754475703325,85,345
0,M_HA_m1_721_00052,5928,0.022282196044233617,613,434
0,M_HS_h1_1018_00729,33426,1.0456081081081081,144,222
0,M_HS_m1_711_00230,13572,1.2743661971830986,150,71
0,M_HS_m3_921_00279,9114,0.8089827800461565,86,131
0,M_HS_h1_1025_00101,7425,0.9166666666666666,150,54
0,M_HS_h2_1113_00052,14214,0.5529233282763449,123,209
0,M_HS_e6_623_00120,10368,0.4972661870503597,150,139
0,M_HS_h3_1217_00112,4047,0.10291163382072473,143,275
0,M_HA_m3_921_00077,0,0.0,305,772
0,M_HS_h3_1233_00434,2100,0.1076923076923077,150,130
0,M_HS_h2_1125_01612,36600,0.6177215189873417,150,395
0,M_P_m2_821_00111,1836,0.0051,600,600
0,M_HA_m1_723_00096,0,0.0,935,661
0,M_HS_h1_1019_01957,19386,0.7550241470634055,196,131
0,M_HS_h1_1019_01957,13308,0.5183050319364387,196,131
